,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,2353519.3070748667,15:32:46:864807,0.778178066542992
1,1,2353519.3014219,15:32:31:868820,0.7724182000383735
2,1,2353519.3030824,15:32:31:870784,0.7740949001163244
3,1,2353519.3050657,15:32:31:872775,0.7760789999738336
4,1,2353519.3070824,15:32:31:874775,0.778101900126785
5,1,2353519.3082354,15:32:31:875777,0.7792592002078891
6,1,2353519.3101358,15:32:31:877766,0.7811703998595476
7,1,2353519.3120546,15:32:31:879756,0.7830680999904871
8,1,2353519.3141437,15:32:31:881759,0.7851630998775363
9,1,2353519.3161565,15:32:31:883750,0.7871604999527335
10,1,2353519.3185228,15:32:31:885741,0.7895309003069997
11,1,2353519.3190691,15:32:31:886743,0.7900701002217829
12,1,2353519.3427948,15:32:31:909597,0.813790800049901
13,1,2353519.3448879,15:32:31:912558,0.8159034000709653
14,1,2353519.3469725,15:32:31:914555,0.8180197002366185
15,1,2353519.3489458,15:32:31:916552,0.8199789002537727
16,1,2353519.3508821,15:32:31:918593,0.8218995998613536
17,1,2353519.3520217,15:32:31:919759,0.8230297002010047
18,1,2353519.3539824,15:32:31:921646,0.8250064002349973
19,1,2353519.3550189,15:32:31:922752,0.8260281998664141
20,1,2353519.3570639,15:32:31:924752,0.8280891999602318
21,1,2353519.3590466,15:32:31:926736,0.8300701002590358
22,1,2353519.3600586,15:32:31:927742,0.8310882998630404
23,1,2353519.4263993,15:32:31:994088,0.8973954999819398
24,1,2353519.4274782,15:32:31:995110,0.8985111000947654
25,1,2353519.4285701,15:32:31:996258,0.899592800065875
26,1,2353519.4305177,15:32:31:998255,0.9015256999991834
27,1,2353519.4316863,15:32:31:999425,0.9026939002797008
28,1,2353519.433687,15:32:32:001420,0.9046960999257863
29,1,2353519.4356973,15:32:32:003417,0.9067049003206193
30,1,2353519.4376724,15:32:32:005406,0.9086831999011338
31,1,2353519.4396881,15:32:32:007421,0.9106991002336144
32,1,2353519.4416762,15:32:32:009408,0.9126873998902738
