,flip_time
0,0.02348921899965717
1,0.009554216000196902
2,0.00973299399993266
3,0.009558739999647514
4,0.009677287000158685
5,0.00999367299982623
6,0.009820502999900782
7,0.009596074000000954
8,0.00897783900018112
9,0.009022609000112425
10,0.009926187000019127
11,0.009197409999615047
12,0.010026291999565728
13,0.009810503000153403
14,0.010169559000132722
15,0.010176762000355666
16,0.009638958999858005
17,0.009771962999820971
18,0.009697899000002508
19,0.009418082000138384
20,0.009986583999761933
21,0.009644151999964379
22,0.01914767300013409
23,0.009519116000319627
24,0.010040887000286602
25,0.009830258999954822
26,0.00913649499989333
27,0.009652388999711548
28,0.00950661900014893
29,0.009558913000091707
30,0.0097829270002876
31,0.009490868000284536
32,0.010367637999934232
33,0.008978085000308056
34,0.013532318000216037
35,0.009521748000224761
36,0.009790031000193267
37,0.009262437999950635
38,0.009387735000018438
39,0.00956880400008231
40,0.010043671999937942
41,0.009394512000199029
42,0.00972193999996307
43,0.009770290000233217
44,0.009590422999735893
45,0.009613575999992463
46,0.010115524999946501
47,0.008200447000035638
48,0.009095897000406694
49,0.009912106999763637
50,0.010078852999868104
51,0.00962874099968758
52,0.009963465000055294
53,0.010226414000044315
54,0.00903835099961725
55,0.00932745199997953
56,0.009614498999781063
57,0.010220793999906164
58,0.00912650800000847
59,0.01012003799996819
60,0.010042616000191629
61,0.009810492000269733
62,0.009650387999954546
63,0.00998590700010027
64,0.009994165000080102
65,0.009762134000084188
66,0.009856159000264597
67,0.018875497999943036
68,0.00963052199995218
69,0.009690577000128542
70,0.021849009999641567
71,0.009105393000027107
72,0.009342536000076507
73,0.009258477999992465
74,0.008760668999912014
75,0.009465629999795055
76,0.009889935000046535
77,0.009341112000129215
78,0.008824316000300314
79,0.009377880000101868
80,0.009814638000079867
81,0.009887664999951085
82,0.009809747999952378
83,0.009615029000087816
84,0.009789304000150878
85,0.010025958999904105
86,0.009751554999638756
87,0.009916162000081385
88,0.00992744599989237
89,0.0095672550000927
90,0.009909929000059492
91,0.009583268000369571
92,0.010100895000050514
93,0.009312785000020085
94,0.009570122999775776
95,0.009903096000016376
96,0.009265354000035586
97,0.00923010799988333
98,0.009652935999838519
99,0.009942013999989285
100,0.010042951000286848
101,0.009821656999974948
102,0.009955598000033206
103,0.010169395000048098
104,0.009924763999606512
105,0.010106023999924219
106,0.009935620999840467
107,0.01489088400012406
108,0.015897817999757535
109,0.009734985000250163
110,0.009571242000220082
111,0.009578845999840269
112,0.00999677600020732
113,0.010064239999792335
