,flip_time
0,0.019773374000124022
1,0.009604920000128914
2,0.00994032500011599
3,0.010760207999737759
4,0.011106980000022304
5,0.010987438000029215
6,0.010301043999788817
7,0.010698453999793855
8,0.011048037999898952
9,0.010669180999684613
10,0.011534441000094375
11,0.010654617000000144
12,0.011174775000199588
13,0.010706618000313028
14,0.010272522999912326
15,0.011711800999819388
16,0.0107445989997359
17,0.010126443999979529
18,0.010549206999712624
19,0.011130016000151954
20,0.011324690000037663
21,0.01125479800020912
22,0.011230948000047647
23,0.010821800000030635
24,0.010965242000111175
25,0.011753849999877275
26,0.010584639999706269
27,0.009405890000380168
28,0.01108794299989313
29,0.010956076000184112
30,0.011052541000026395
31,0.011495751999973436
32,0.010711845000059839
33,0.0109976949997872
34,0.016607844999725785
35,0.010671872999864718
36,0.012156100000083825
37,0.010603667999930622
38,0.009960650000266469
39,0.011455440999725397
40,0.010705595000217727
41,0.01076410899986513
42,0.011461550000149145
43,0.010315557000012632
44,0.010894890999679774
45,0.01126224400013598
46,0.011175630000252568
47,0.01173060200017062
48,0.01013394200026596
49,0.01040839799998139
50,0.011143049000111205
51,0.01100521500029572
52,0.010822995000125957
53,0.011249894000229688
54,0.011112851000234514
55,0.010541120000198134
56,0.011552539000149409
57,0.010047769000266271
58,0.01038273099993603
59,0.009815449000143417
60,0.011053225000068778
61,0.010814700000082667
62,0.011358279999967635
63,0.010725228999945102
64,0.010390617000211932
65,0.011253216000113753
66,0.010722088999955304
67,0.010899998999775562
68,0.011592282000037812
69,0.01000771300004999
70,0.010684391000268079
71,0.010747678000370797
72,0.011082733999955963
73,0.04042136600037338
74,0.011096577999978763
75,0.010687979000067571
76,0.010896201000377914
77,0.00923060200011605
78,0.010699621000185289
79,0.010426125999856595
80,0.010551797000061924
81,0.010408889999780513
82,0.01139248299978135
83,0.010813756000061403
84,0.010513222000099631
85,0.010521874000005482
86,0.011223939000046812
87,0.0105668810001589
88,0.010769206000077247
89,0.010720477000177198
90,0.010810877000039909
91,0.011371079000127793
92,0.0109110039998086
93,0.011139116000322247
94,0.011017048000212526
95,0.011162479000176972
96,0.01126412799976606
97,0.010759805999896344
98,0.011133674000120664
99,0.011009961000127078
100,0.011119294999843987
101,0.01131967999981498
102,0.010981033999996725
103,0.011082898000040586
104,0.010753509000096528
105,0.011186216000169225
106,0.01107132700008151
107,0.011031989000002795
108,0.010298139000042283
109,0.011020706000181235
110,0.015665755999634712
111,0.017706864000047062
112,0.013051292999989528
113,0.009738206000292848
114,0.01035903199999666
115,0.010652130999915244
116,0.01119545899973673
117,0.010740433000137273
118,0.01000538400012374
119,0.011269602000083978
120,0.010341150999920501
121,0.011038828999971884
122,0.011243815999932849
123,0.01083798099989508
124,0.010909583000284329
125,0.01147876000004544
126,0.010912625000401022
127,0.010998292999829573
128,0.010819932999766024
129,0.011352073999660206
130,0.010358273999827361
131,0.010404973999811773
132,0.011244469999837747
133,0.010821280000072875
134,0.011107764999906067
135,0.011292552999748295
136,0.010975267000048916
137,0.010590529000182869
138,0.01077851499985627
139,0.010893027000292932
140,0.010392748999947798
141,0.011081869000008737
142,0.011099426000328094
143,0.010664939999969647
144,0.010822271000051842
145,0.010728083000230981
146,0.011428767000325024
147,0.011000813000009657
148,0.01580306300002121
149,0.0292709090003882
150,0.010515404000216222
151,0.010329175000151736
152,0.010577370000191877
153,0.01049154299971633
154,0.011326965000080236
155,0.01103183400027774
156,0.01094363499987594
157,0.010311319999800617
158,0.011026148999917496
159,0.011274597999999969
160,0.010996132999935071
161,0.011083453000082955
162,0.010858591000214801
163,0.010942123999939213
