,loop_start_time,loop_end_time,loop_length
0,10779.369668951,10779.387825714,0.018156763000661158
1,10779.387893028,10779.404372702,0.016479673999128863
2,10779.404433661,10779.421134717,0.01670105599987437
3,10779.421199148,10779.437813821,0.016614672998912283
4,10779.437911958,10779.454547778,0.016635819998555235
5,10779.454610176,10779.471132905,0.01652272899991658
6,10779.471225895,10779.487794665,0.016568769999139477
7,10779.487875145,10779.504667346,0.016792201000498608
8,10779.504787098,10779.52128148,0.01649438200001896
9,10779.521379115,10779.538165237,0.016786121999757597
10,10779.538246428,10779.554748592,0.01650216400048521
11,10779.554815217,10779.571424468,0.01660925100077293
12,10779.571521685,10779.588160178,0.016638492999845766
13,10779.588274319,10779.604863062,0.016588743001193507
14,10779.604933342,10779.621460722,0.016527380001207348
15,10779.621530902,10779.637940605,0.016409702999226283
16,10779.638029265,10779.654784435,0.016755170001488295
17,10779.654869976,10779.671326359,0.016456383000331698
18,10779.671421944,10779.688033072,0.016611127999567543
19,10779.688124457,10779.704710263,0.01658580600087589
20,10779.704775587,10779.721457818,0.016682230998412706
21,10779.72154954,10779.738218908,0.016669368000293616
22,10779.738286114,10779.75468019,0.01639407600123377
23,10779.754769617,10779.771429183,0.016659565999361803
24,10779.771493622,10779.787947189,0.016453566999189206
25,10779.788038228,10779.804512426,0.016474198000651086
26,10779.804572794,10779.821257188,0.01668439399873023
27,10779.821317058,10779.837816066,0.016499007999300375
28,10779.837879448,10779.854511443,0.016631995000352617
29,10779.854632193,10779.871232257,0.016600064000158454
30,10779.87129404,10779.888010765,0.0167167250001512
31,10779.888071618,10779.904799497,0.016727879001336987
32,10779.904866234,10779.921523149,0.016656915000567096
33,10779.921590523,10779.937923523,0.016333000001395703
34,10779.938010542,10779.954467235,0.016456692999781808
35,10779.954528145,10779.987109864,0.032581719000518206
36,10779.987195178,10780.021280744,0.03408556599970325
37,10780.021392538,10780.038031359,0.016638821000015014
38,10780.038110277,10780.0545761,0.016465822998725343
39,10780.054642628,10780.07121622,0.016573591999986093
40,10780.07127895,10780.08783915,0.016560199999730685
41,10780.087922273,10780.104819178,0.016896904999157414
42,10780.104905859,10780.121230983,0.016325124001014046
43,10780.121293584,10780.137956419,0.016662834999806364
44,10780.138033632,10780.15494475,0.016911118000280112
45,10780.155082125,10780.171460659,0.016378533999159117
46,10780.171558103,10780.187935937,0.01637783399928594
47,10780.188022507,10780.204662077,0.016639569999824744
48,10780.204734105,10780.221206989,0.016472883999085752
49,10780.221267468,10780.23779888,0.01653141200040409
50,10780.237860949,10780.254463269,0.016602319999947213
51,10780.25452295,10780.2711583,0.01663535000079719
52,10780.271221838,10780.287846863,0.01662502500039409
53,10780.287919719,10780.304505949,0.0165862300000299
54,10780.304567496,10780.32116307,0.016595574001257773
55,10780.321225977,10780.338151798,0.016925820998949348
56,10780.338242985,10780.354672158,0.01642917299977853
57,10780.354780306,10780.37138049,0.016600184000708396
58,10780.37144875,10780.387834563,0.016385812999942573
59,10780.387895398,10780.404670776,0.01677537800060236
60,10780.404735058,10780.421391637,0.016656579000482452
61,10780.421454236,10780.438093716,0.016639479999867035
62,10780.438183105,10780.454939542,0.01675643700036744
63,10780.455022187,10780.471444412,0.016422225000496837
64,10780.471526985,10780.487876555,0.016349569999874802
65,10780.487938389,10780.504730917,0.016792528000223683
66,10780.504816878,10780.52148919,0.016672312000082457
67,10780.521593998,10780.538065745,0.0164717469997413
68,10780.538127186,10780.554938716,0.01681153000026825
69,10780.555003596,10780.571296027,0.016292430998873897
70,10780.5713902,10780.58796412,0.01657392000015534
71,10780.588026359,10780.604486438,0.016460078999443795
72,10780.604545525,10780.621564705,0.017019179998897016
73,10780.621625504,10780.671255624,0.049630120000074385
74,10780.671316955,10780.687892943,0.016575988000113284
75,10780.687975787,10780.704513871,0.016538084000785602
76,10780.704608065,10780.721380761,0.016772696000771248
77,10780.721466036,10780.738027364,0.01656132799871557
78,10780.738134001,10780.754635263,0.01650126200001978
79,10780.754704797,10780.77155678,0.016851983000378823
80,10780.771642261,10780.787962821,0.01632056000016746
81,10780.788044987,10780.804577195,0.016532207999262027
82,10780.804636345,10780.821195553,0.016559208001126535
83,10780.821288983,10780.838257498,0.016968515001281048
84,10780.838352309,10780.855172884,0.016820574999655946
85,10780.855318403,10780.871530344,0.01621194099971035
86,10780.871620627,10780.8887132,0.017092572999899858
87,10780.88881818,10780.904815623,0.01599744300074235
88,10780.904881544,10780.921485524,0.01660398000058194
89,10780.921569909,10780.938413141,0.016843232000610442
90,10780.938505316,10780.955015346,0.016510030000063125
91,10780.955109153,10780.971486124,0.0163769710015913
92,10780.971568145,10780.988089863,0.01652171800014912
93,10780.988154861,10781.004747388,0.016592527001193957
94,10781.004812098,10781.02166936,0.016857262000485207
95,10781.02177916,10781.038308905,0.016529744998479146
96,10781.038405427,10781.054803114,0.01639768700079003
97,10781.054890365,10781.072035395,0.01714503000039258
98,10781.072126905,10781.088353864,0.016226959000050556
99,10781.088450108,10781.104854179,0.01640407100057928
100,10781.104917483,10781.121281755,0.016364271999918856
101,10781.121341996,10781.137948781,0.01660678500047652
102,10781.138021515,10781.154838181,0.016816666000522673
103,10781.154921785,10781.171565507,0.016643721999571426
104,10781.171658124,10781.188291796,0.016633671999443322
105,10781.18837488,10781.204793867,0.01641898700108868
106,10781.20488138,10781.221347456,0.016466076000142493
107,10781.221441755,10781.238204203,0.01676244800000859
108,10781.238266824,10781.254552941,0.016286116999253863
109,10781.254618823,10781.271325056,0.01670623299833096
110,10781.27143962,10781.321727577,0.050287956999454764
111,10781.321828998,10781.338166716,0.016337717999704182
112,10781.338257939,10781.354737076,0.016479137000715127
113,10781.354890823,10781.371394433,0.0165036099988356
114,10781.371535404,10781.388386475,0.01685107100092864
115,10781.388516257,10781.404807978,0.01629172100001597
116,10781.404875309,10781.421402994,0.016527685000255588
117,10781.421469504,10781.43806634,0.01659683600155404
118,10781.438149177,10781.454768137,0.016618960000414518
119,10781.454856636,10781.471537389,0.016680752998581738
120,10781.47162499,10781.488284424,0.016659434000757756
121,10781.488348108,10781.504931838,0.01658373000100255
122,10781.505015783,10781.521551438,0.01653565500055265
123,10781.521746264,10781.538370497,0.01662423300149385
124,10781.538469235,10781.555100635,0.01663139999982377
125,10781.555181965,10781.57163358,0.016451614999823505
126,10781.571717383,10781.58835068,0.016633297000225866
127,10781.588443844,10781.604927303,0.016483458999573486
128,10781.605017224,10781.62167911,0.016661886000292725
129,10781.621764515,10781.638468069,0.016703553999832366
130,10781.638549259,10781.657006419,0.01845716000025277
131,10781.657124485,10781.688207379,0.031082894000064698
132,10781.688367503,10781.705636121,0.017268617999434355
133,10781.705727591,10781.721565323,0.015837732000363758
134,10781.721652907,10781.738392861,0.016739954000513535
135,10781.7384694,10781.755044658,0.016575258001466864
136,10781.755133716,10781.772029274,0.01689555799930531
137,10781.772135418,10781.7883852,0.01624978200015903
138,10781.788479101,10781.805171159,0.01669205799953488
139,10781.805240661,10781.821615195,0.016374533999623964
140,10781.82168128,10781.838489981,0.01680870100062748
141,10781.838555519,10781.855443986,0.01688846700017166
142,10781.85554638,10781.871994841,0.016448460999527015
143,10781.872129796,10781.888347824,0.016218028000366758
144,10781.888443542,10781.904955245,0.01651170299919613
145,10781.905041642,10781.921624202,0.01658255999973335
146,10781.921714658,10781.955189602,0.033474944000772666
147,10781.955284361,10781.988312905,0.03302854399953503
148,10781.988398552,10782.004979882,0.01658133000091766
149,10782.005103999,10782.021679108,0.01657510900076886
150,10782.021763992,10782.038596556,0.016832564000651473
151,10782.038695949,10782.055098419,0.016402469998865854
152,10782.05518934,10782.071396632,0.016207291999307927
153,10782.071460274,10782.08819708,0.016736805999244098
154,10782.088268013,10782.104751561,0.016483548000906012
155,10782.10481854,10782.121749634,0.01693109400002868
156,10782.121846864,10782.138038002,0.01619113800006744
157,10782.138099592,10782.154892145,0.016792552998595056
158,10782.154956164,10782.171577586,0.016621421998934238
