,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,164666.20678876666,14:01:10:164109,0.778519366667993
1,1,164666.201239,14:00:55:169085,0.7728648000047542
2,1,164666.2020975,14:00:55:170132,0.7737367000081576
3,1,164666.2040751,14:00:55:172091,0.7757223999942653
4,1,164666.2051861,14:00:55:173166,0.7768458999926224
5,1,164666.2062364,14:00:55:174243,0.7778836000070442
6,1,164666.2082031,14:00:55:176242,0.7798401000036392
7,1,164666.2094258,14:00:55:177417,0.7810783000022639
8,1,164666.2114079,14:00:55:179409,0.7830605999915861
9,1,164666.2129041,14:00:55:180895,0.7845581999863498
10,1,164666.2141386,14:00:55:182163,0.7858000000123866
11,1,164666.2152763,14:00:55:183332,0.7869240999862086
12,1,164666.2403395,14:00:55:207496,0.8119652000023052
13,1,164666.2415416,14:00:55:209527,0.813181400008034
14,1,164666.2435287,14:00:55:211513,0.815173999988474
15,1,164666.2454674,14:00:55:213477,0.8171202999947127
16,1,164666.2465285,14:00:55:214506,0.8181726000038907
17,1,164666.2485094,14:00:55:216475,0.8201614000136033
18,1,164666.2504747,14:00:55:218465,0.8221137000073213
19,1,164666.2524853,14:00:55:220514,0.8241232000000309
20,1,164666.2535112,14:00:55:221549,0.825149300013436
21,1,164666.2545165,14:00:55:222554,0.8261544000124559
22,1,164666.2564996,14:00:55:224538,0.8281371000048239
23,1,164666.3268033,14:00:55:294129,0.8984290999942459
24,1,164666.3281584,14:00:55:296185,0.8997947000025306
25,1,164666.3291922,14:00:55:297195,0.9008326999901328
26,1,164666.3312197,14:00:55:299187,0.902877599990461
27,1,164666.3331944,14:00:55:301182,0.9048610999889206
28,1,164666.3352286,14:00:55:303177,0.9068869999900926
29,1,164666.3371845,14:00:55:305172,0.9088503000093624
30,1,164666.3391737,14:00:55:307166,0.9108375000068918
31,1,164666.3413299,14:00:55:309330,0.9129802999959793
32,1,164666.34229,14:00:55:310330,0.9139268999861088
33,1,164666.3442863,14:00:55:312318,0.9159254000114743
34,1,164666.4323619,14:00:55:400104,1.0039990000077523
35,1,164666.4343192,14:00:55:402311,1.0059724999882746
36,1,164666.435516,14:00:55:403482,1.0071692999918014
37,1,164666.4375027,14:00:55:405490,1.0091718999901786
38,1,164666.4394935,14:00:55:407475,1.0111422000045422
39,1,164666.4414837,14:00:55:409480,1.0131349999865051
40,1,164666.4435374,14:00:55:411458,1.0152027999865822
41,1,164666.4453093,14:00:55:413286,1.0169643000117503
42,1,164666.4464091,14:00:55:414449,1.0180464999866672
43,1,164666.4484349,14:00:55:416445,1.02008359998581
44,1,164666.4504371,14:00:55:418444,1.0220877999963704
45,1,164666.5327273,14:00:55:500344,1.104352900001686
46,1,164666.5345361,14:00:55:502570,1.1061760000011418
47,1,164666.5356912,14:00:55:503732,1.1073282999859657
48,1,164666.5375866,14:00:55:505603,1.1092295999987982
49,1,164666.5387385,14:00:55:506730,1.1103919000015594
50,1,164666.5407339,14:00:55:508727,1.11238730000332
51,1,164666.5417357,14:00:55:509728,1.113388900004793
52,1,164666.5426921,14:00:55:510732,1.1143291000043973
53,1,164666.5447468,14:00:55:512719,1.1164004000020213
54,1,164666.546672,14:00:55:514703,1.118311400001403
55,1,164666.548665,14:00:55:516700,1.1203054999932647
56,1,164666.6324079,14:00:55:600304,1.2040336999925785
57,1,164666.6334265,14:00:55:601400,1.2050723999855109
58,1,164666.6344722,14:00:55:602513,1.2061093999946024
59,1,164666.6356562,14:00:55:603678,1.2072999000083655
60,1,164666.6376089,14:00:55:605626,1.209269899991341
61,1,164666.6386858,14:00:55:606681,1.2103385000082199
62,1,164666.6406452,14:00:55:608686,1.2122827999992296
63,1,164666.6426636,14:00:55:610670,1.2143121999979485
64,1,164666.6436832,14:00:55:611697,1.2153269000118598
65,1,164666.6455086,14:00:55:613491,1.2171584999887273
66,1,164666.6466624,14:00:55:614654,1.2183157000108622
67,1,164666.7332281,14:00:55:700951,1.3048537999857217
68,1,164666.7339571,14:00:55:701997,1.305595000012545
69,1,164666.7351759,14:00:55:703169,1.306829800014384
70,1,164666.7362301,14:00:55:704169,1.3079038999858312
71,1,164666.7381724,14:00:55:706168,1.309825100004673
72,1,164666.7401309,14:00:55:708170,1.3117695999972057
73,1,164666.7421166,14:00:55:710152,1.3137552000116557
74,1,164666.7441569,14:00:55:712157,1.3158098999992944
75,1,164666.7460985,14:00:55:714129,1.317738299985649
76,1,164666.7480838,14:00:55:716125,1.3197209000063594
77,1,164666.7501305,14:00:55:718127,1.321782599989092
78,1,164666.8327748,14:00:55:800429,1.4044008000055328
79,1,164666.8334544,14:00:55:801493,1.4050929000077303
80,1,164666.8346151,14:00:55:802657,1.4062524999899324
81,1,164666.8356374,14:00:55:803658,1.4072818999993615
82,1,164666.8366307,14:00:55:804670,1.4082683000015095
83,1,164666.8386251,14:00:55:806665,1.4102628999971785
84,1,164666.8406213,14:00:55:808660,1.4122589000035077
85,1,164666.8426219,14:00:55:810655,1.414261300000362
86,1,164666.844461,14:00:55:812466,1.4161085000087041
87,1,164666.8455462,14:00:55:813494,1.4171976000070572
88,1,164666.8465936,14:00:55:814629,1.4182350999908522
89,1,164666.9327537,14:00:55:899915,1.5043793999939226
90,1,164666.9328662,14:00:55:900915,1.5045005999854766
91,1,164666.9341221,14:00:55:902097,1.505776700010756
92,1,164666.9360766,14:00:55:904082,1.5077213000040501
93,1,164666.9379014,14:00:55:905902,1.5095523000054527
94,1,164666.9390434,14:00:55:907086,1.5106803000089712
95,1,164666.9410293,14:00:55:909071,1.5126664999988861
96,1,164666.943047,14:00:55:911064,1.5146932000061497
97,1,164666.9449418,14:00:55:912932,1.5165948999929242
98,1,164666.9460081,14:00:55:914042,1.517647600005148
99,1,164666.9479977,14:00:55:916039,1.5196352000057232
100,1,164667.037869,14:00:56:005501,1.6094948000099976
