,audio_status,audio_status_time,audio_status_realtime
0,1,12016.764788926,23:27:36:142358
1,1,12016.789591485,2022-06-13 23:27:26.167200
2,1,12016.790532163,2022-06-13 23:27:26.168140
3,1,12016.79117177,2022-06-13 23:27:26.168779
4,1,12016.791837141,2022-06-13 23:27:26.169444
5,1,12016.792483983,2022-06-13 23:27:26.170094
6,1,12016.793105762,2022-06-13 23:27:26.170714
7,1,12016.793717792,2022-06-13 23:27:26.171324
8,1,12016.794356022,2022-06-13 23:27:26.171963
9,1,12016.795008876,2022-06-13 23:27:26.172617
10,1,12016.79564994,2022-06-13 23:27:26.173260
11,1,12016.796286722,2022-06-13 23:27:26.173895
12,1,12016.81143536,2022-06-13 23:27:26.189044
13,1,12016.812199572,2022-06-13 23:27:26.189809
14,1,12016.812857153,2022-06-13 23:27:26.190464
15,1,12016.813522232,2022-06-13 23:27:26.191129
16,1,12016.814170306,2022-06-13 23:27:26.191777
17,1,12016.814736238,2022-06-13 23:27:26.192342
18,1,12016.815329185,2022-06-13 23:27:26.192936
19,1,12016.815976585,2022-06-13 23:27:26.193584
20,1,12016.816574483,2022-06-13 23:27:26.194181
21,1,12016.817204556,2022-06-13 23:27:26.194812
22,1,12016.817839823,2022-06-13 23:27:26.195447
23,1,12016.8276115,2022-06-13 23:27:26.205221
24,1,12016.828340701,2022-06-13 23:27:26.205950
25,1,12016.828970154,2022-06-13 23:27:26.206589
26,1,12016.829613091,2022-06-13 23:27:26.207222
27,1,12016.830255957,2022-06-13 23:27:26.207866
28,1,12016.83090012,2022-06-13 23:27:26.208510
29,1,12016.831609654,2022-06-13 23:27:26.209218
30,1,12016.832238967,2022-06-13 23:27:26.209848
31,1,12016.83293332,2022-06-13 23:27:26.210545
32,1,12016.833593166,2022-06-13 23:27:26.211204
33,1,12016.834309883,2022-06-13 23:27:26.211920
34,1,12016.844628514,2022-06-13 23:27:26.222238
35,1,12016.845479821,2022-06-13 23:27:26.223091
36,1,12016.846181583,2022-06-13 23:27:26.223793
37,1,12016.846876101,2022-06-13 23:27:26.224487
38,1,12016.847561202,2022-06-13 23:27:26.225192
39,1,12016.848281174,2022-06-13 23:27:26.225892
40,1,12016.848959656,2022-06-13 23:27:26.226571
41,1,12016.84959746,2022-06-13 23:27:26.227207
