,audio_status,audio_status_time
0,1,6027.7793098460015
1,1,6027.784091131
2,1,6027.784966517
3,1,6027.785661083
4,1,6027.786334355
5,1,6027.786977666
6,1,6027.787614718
7,1,6027.78825921
8,1,6027.788868771
9,1,6027.789483375
10,1,6027.790119777
11,1,6027.790728039
12,1,6027.813515957
13,1,6027.814346435
14,1,6027.81491937
15,1,6027.815514966
16,1,6027.816130466
17,1,6027.81674732
18,1,6027.817383009
19,1,6027.818045765
20,1,6027.818656456
21,1,6027.819205843
22,1,6027.819821652
23,1,6027.829651628
24,1,6027.830322308
25,1,6027.830953535
26,1,6027.831583753
27,1,6027.832212641
28,1,6027.832825402
29,1,6027.833431081
30,1,6027.834046218
31,1,6027.834652945
32,1,6027.835265713
33,1,6027.835810348
34,1,6027.846290367
35,1,6027.847001273
36,1,6027.847536322
37,1,6027.848076035
38,1,6027.84869668
39,1,6027.84929437
40,1,6027.849910228
41,1,6027.850506133
42,1,6027.85104049
43,1,6027.85163863
44,1,6027.852211722
45,1,6027.863115353
46,1,6027.86381798
47,1,6027.864442722
48,1,6027.86501082
49,1,6027.865647531
50,1,6027.866265421
51,1,6027.866900327
52,1,6027.867536713
53,1,6027.868177432
54,1,6027.868815636
55,1,6027.869383462
56,1,6027.879713848
57,1,6027.880438146
58,1,6027.881073631
59,1,6027.881689358
60,1,6027.882317875
61,1,6027.882933225
62,1,6027.883546378
63,1,6027.884161011
64,1,6027.884767141
65,1,6027.885314479
66,1,6027.885962007
67,1,6027.896268685
68,1,6027.8969828
69,1,6027.89760632
70,1,6027.89822512
71,1,6027.89883803
72,1,6027.899437393
73,1,6027.900055363
74,1,6027.900651272
75,1,6027.901198911
76,1,6027.901796798
77,1,6027.902357119
78,1,6027.912949322
79,1,6027.913669435
80,1,6027.914215799
81,1,6027.914876009
82,1,6027.915469515
83,1,6027.916009355
84,1,6027.916629793
85,1,6027.917227119
86,1,6027.917833781
87,1,6027.91842937
88,1,6027.918978428
89,1,6027.929650775
90,1,6027.930395612
91,1,6027.931029277
92,1,6027.931566039
93,1,6027.932172883
94,1,6027.932792798
95,1,6027.933431172
96,1,6027.934056479
97,1,6027.93467484
98,1,6027.935294115
99,1,6027.935910653
100,1,6027.946402117
101,1,6027.947135493
102,1,6027.947765465
103,1,6027.948367919
104,1,6027.9489755
105,1,6027.949571275
106,1,6027.950179703
107,1,6027.950725068
108,1,6027.95134887
109,1,6027.951967835
110,1,6027.952573898
111,1,6027.962933872
112,1,6027.963645203
113,1,6027.964270055
114,1,6027.964889027
115,1,6027.965502161
116,1,6027.966118513
117,1,6027.96672578
118,1,6027.967321773
119,1,6027.967866043
120,1,6027.968463815
121,1,6027.969069583
122,1,6027.979618441
123,1,6027.980337413
124,1,6027.980882516
125,1,6027.981543626
126,1,6027.982136476
127,1,6027.98270831
128,1,6027.983321242
129,1,6027.983921306
130,1,6027.984538205
131,1,6027.985157787
132,1,6027.985774453
133,1,6027.996292128
134,1,6027.997050633
135,1,6027.997683311
136,1,6027.998225455
137,1,6027.99884769
138,1,6027.999446038
139,1,6028.000063
140,1,6028.000659238
141,1,6028.001199033
142,1,6028.001797293
143,1,6028.00240343
144,1,6028.013176489
145,1,6028.013921475
146,1,6028.014533592
147,1,6028.015136333
148,1,6028.015744678
149,1,6028.016359515
150,1,6028.016966108
151,1,6028.017581553
152,1,6028.01818858
153,1,6028.018801525
154,1,6028.019416728
155,1,6028.029748326
156,1,6028.030402236
157,1,6028.031026786
158,1,6028.031660798
159,1,6028.032285653
160,1,6028.032820239
161,1,6028.03343129
162,1,6028.034028668
163,1,6028.03464472
164,1,6028.035240563
165,1,6028.035801719
166,1,6028.046257912
167,1,6028.046908599
168,1,6028.04751673
169,1,6028.048135333
170,1,6028.048750305
171,1,6028.049375046
172,1,6028.049969246
173,1,6028.050602629
174,1,6028.051204327
175,1,6028.051803706
176,1,6028.052347556
177,1,6028.063059636
178,1,6028.06375575
179,1,6028.064408439
180,1,6028.065015272
181,1,6028.065631405
182,1,6028.066232435
183,1,6028.066839058
184,1,6028.067435317
185,1,6028.068041245
186,1,6028.068656708
187,1,6028.069263588
188,1,6028.079853955
189,1,6028.080599778
190,1,6028.081246075
191,1,6028.081874785
192,1,6028.082498671
193,1,6028.083133672
194,1,6028.083786397
195,1,6028.084436009
196,1,6028.085071857
197,1,6028.085692675
198,1,6028.086320141
199,1,6028.096381518
200,1,6028.097099857
201,1,6028.097718661
202,1,6028.098383052
203,1,6028.098993203
204,1,6028.099614153
205,1,6028.100244653
206,1,6028.100860496
207,1,6028.10149623
208,1,6028.102131479
209,1,6028.102788279
210,1,6028.113253231
211,1,6028.113949369
212,1,6028.114541083
213,1,6028.115086986
214,1,6028.115724161
215,1,6028.116356525
216,1,6028.116985293
217,1,6028.117602199
218,1,6028.118229891
219,1,6028.118846245
220,1,6028.119452711
221,1,6028.129648953
222,1,6028.1303599
223,1,6028.130981071
224,1,6028.131590261
225,1,6028.132200907
226,1,6028.132849169
227,1,6028.133454348
228,1,6028.134067229
229,1,6028.134666111
230,1,6028.135267746
231,1,6028.13583944
232,1,6028.146286208
233,1,6028.147004171
234,1,6028.14756544
235,1,6028.148166807
236,1,6028.148791083
237,1,6028.149388323
238,1,6028.150004468
239,1,6028.150593401
240,1,6028.151203918
241,1,6028.151801408
242,1,6028.152417728
243,1,6028.16302801
244,1,6028.163746281
245,1,6028.164372711
246,1,6028.165011951
247,1,6028.165616118
248,1,6028.166151428
249,1,6028.166773435
250,1,6028.167370955
251,1,6028.16798686
252,1,6028.168582721
253,1,6028.16917841
254,1,6028.18000769
255,1,6028.180732885
256,1,6028.181344363
257,1,6028.181941887
258,1,6028.182478606
259,1,6028.183078722
260,1,6028.183684773
261,1,6028.184298695
262,1,6028.184905441
263,1,6028.18552015
264,1,6028.186135649
265,1,6028.196318229
266,1,6028.196982556
267,1,6028.197583453
268,1,6028.198201228
269,1,6028.198819113
270,1,6028.199426965
271,1,6028.200040481
272,1,6028.200592155
273,1,6028.201186882
274,1,6028.20173767
275,1,6028.20235402
276,1,6028.213376451
277,1,6028.214100803
278,1,6028.21471965
279,1,6028.215318066
280,1,6028.215925455
281,1,6028.216522078
282,1,6028.217071952
283,1,6028.217670688
284,1,6028.21827785
285,1,6028.218891153
286,1,6028.219497753
287,1,6028.229675668
288,1,6028.23040692
289,1,6028.23101332
290,1,6028.231622163
291,1,6028.23223634
292,1,6028.232843803
293,1,6028.233459031
294,1,6028.23407465
295,1,6028.2346885
296,1,6028.235303665
297,1,6028.23591058
298,1,6028.246242871
299,1,6028.246914125
300,1,6028.247557991
301,1,6028.24818228
302,1,6028.248720403
303,1,6028.249327323
304,1,6028.249925069
305,1,6028.250541538
306,1,6028.25113771
307,1,6028.251704437
308,1,6028.252337535
309,1,6028.262941996
310,1,6028.26372891
311,1,6028.264364798
312,1,6028.26501706
313,1,6028.265678608
314,1,6028.266302791
315,1,6028.266952233
316,1,6028.267589495
317,1,6028.268215767
318,1,6028.268802108
319,1,6028.269480882
320,1,6028.279990282
321,1,6028.280724711
322,1,6028.28133604
323,1,6028.281895475
324,1,6028.282484102
325,1,6028.283127479
326,1,6028.283770927
327,1,6028.284396032
328,1,6028.284961957
329,1,6028.285590466
330,1,6028.286219721
331,1,6028.296910935
332,1,6028.297680172
333,1,6028.298320175
334,1,6028.299022368
335,1,6028.299721675
336,1,6028.300363161
337,1,6028.300969328
338,1,6028.301579408
339,1,6028.302211869
340,1,6028.302839725
341,1,6028.303483233
342,1,6028.313332707
343,1,6028.314149889
344,1,6028.31483325
345,1,6028.315528842
346,1,6028.31624653
347,1,6028.316930371
348,1,6028.317594481
349,1,6028.318202271
350,1,6028.318876168
351,1,6028.319535885
352,1,6028.320240146
353,1,6028.330129207
354,1,6028.330894866
